Country Name,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Benin,706.0535419,820.1513498,793.45243,757.6959074,825.9427854,837.9505001,915.2674586,943.686575,783.947091,789.4404107
Burkina Faso,475.1100122,569.7612784,552.7455521,575.4464527,666.8404101,673.8228182,699.781537,703.8216565,575.3144542,627.1030788
Bangladesh,541.0651484,615.7775411,681.1205368,757.6717572,835.7893401,856.342857,951.8894535,1084.56543,1210.158769,1358.779029
Bulgaria,5932.899677,7261.754492,6969.558557,6843.263289,7813.803499,7378.025539,7674.860559,7853.335191,6993.47736,7469.025247
Bahrain,20977.11053,23067.56535,19356.67236,20722.10389,22512.1596,23649.36661,24737.17178,24983.37902,22688.87824,22579.09342
"Bahamas, The",24301.24325,23652.33053,22037.10801,21921.55906,21523.97372,28815.5274,28303.46729,28374.35794,29056.09066,28785.47767
Bosnia and Herzegovina,4180.292176,5078.314577,4701.334426,4614.829041,5054.325344,4722.013403,5042.582213,5204.243718,4584.242548,4808.405425
Belarus,4735.484827,6377.369732,5176.26383,6029.3968,6519.230195,6940.159254,7978.872615,8318.51269,5949.106307,4986.496177
Belize,4324.876427,4470.220796,4258.788611,4344.150177,4516.24675,4673.63848,4688.538443,4852.223666,4849.997495,4744.736397
Bermuda,90849.58698,93605.74817,88463.31282,88207.32756,85973.15842,85458.45551,85748.06541,,,
Bolivia,1389.634888,1736.935051,1776.866476,1981.160705,2377.675918,2645.227753,2947.938526,3124.00031,3077.026199,3104.956089
Brazil,7313.557962,8787.610375,8553.38047,11224.15408,13167.47289,12291.46685,12216.90446,12026.61731,8757.206202,8649.948492
Barbados,16381.49556,16613.71922,15922.90013,15959.02979,16610.41835,16536.21464,16326.91348,16261.79932,16129.04928,15891.62655
Brunei Darussalam,32672.36717,37951.2806,27965.47504,35268.10117,47017.0273,47651.25909,44597.27968,41530.66898,30967.89051,26939.41751
Bhutan,1741.142552,1795.181307,1770.234497,2178.921383,2458.045976,2422.008016,2350.882889,2504.717407,2615.31022,2773.547135
Botswana,5714.047937,5623.379566,5185.729845,6346.156204,7645.214612,7029.23145,7007.625786,7497.762378,6532.044677,6924.149775
Central African Republic,397.1480467,456.8614334,449.9601839,446.4434494,494.3306779,486.410114,337.4849614,377.1320274,348.381417,382.2131743
Canada,44544.5268,46596.33599,40773.45436,47447.47602,52082.21076,52496.69487,52413.72116,50440.43376,43315.70044,42157.92799
Central Europe and the Baltics,11961.74828,14498.31777,12214.36412,12567.12831,13888.45317,13001.82296,13714.83569,14139.26943,12450.13342,12742.60149
Switzerland,63555.2375,72487.84593,69927.46877,74605.72102,88415.62806,83538.23008,85112.4644,86605.56338,82016.02131,79890.52401
Channel Islands,73569.64496,,,,,,,,,
Chile,10526.87746,10781.36608,10243.32824,12860.17764,14705.69242,15431.90293,15941.39722,14817.37778,13653.2264,13792.92605
China,2695.365917,3471.248054,3838.433972,4560.512586,5633.795717,6337.883323,7077.770765,7683.502613,8069.213024,8123.180873
Cote d'Ivoire,1065.896375,1242.431044,1217.749206,1219.749096,1214.703946,1262.480218,1423.682282,1569.928275,1434.326615,1534.973724
Cameroon,1215.808213,1396.824988,1338.884377,1309.122208,1429.647553,1380.509848,1493.746567,1571.182535,1353.92449,1374.514172
"Congo, Dem. Rep.",280.1217437,318.1201341,,318.0757516,357.4834938,398.1406948,420.87049,461.5680853,474.9360481,405.5425009
"Congo, Rep.",2111.209489,2881.594116,2255.333119,2737.34233,3196.647524,2952.052348,2964.572989,2910.520226,1712.121146,1528.24472
Colombia,4674.219528,5433.720425,5148.422106,6250.654926,7227.739797,7884.984375,8030.585914,7913.383242,6044.525655,5805.605385
Comoros,720.7593013,795.9705019,778.5454199,769.1742883,829.7586885,788.632653,834.3410949,852.9543079,727.6463868,775.0800846
Cabo Verde,3112.285712,3638.905946,3444.5566,3312.825985,3670.429453,3408.482762,3558.796314,3529.618403,2954.119467,2997.75268
Costa Rica,6120.623418,6911.136136,6809.396224,8199.414621,9186.59639,9985.36959,10569.66631,10647.44179,11406.36273,11824.6381
Caribbean small states,8519.86266,9658.230671,8053.491355,8726.326154,9417.752836,9986.791659,10013.47607,9967.329936,9648.39944,9206.765562
Cuba,5184.494227,5376.447622,5484.7763,5676.141403,6075.924306,6425.941119,6760.15344,7050.50199,7602.261218,
Curacao,,,,,,,,,,
Cayman Islands,,,,,,,,,,
Cyprus,31386.63265,35390.70488,32105.8159,30818.46396,32233.83942,28951.15556,27907.96736,27340.88382,23075.1127,23324.20174
Czech Republic,18373.649,22698.85396,19741.59763,19808.07109,21717.45794,19729.87051,19916.01939,19744.55861,17715.61685,18491.94011
Germany,41814.8191,45699.19832,41732.70725,41785.55691,46810.32796,44065.24891,46530.91143,48042.56343,41323.9215,42069.59799
